cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2022-0284,WritePICONImage,3,0,3,,7.1.0-20;7.1.0-21;7.1.0-22,,,,7.1.0-19;7.1.0-18;7.1.0-17;7.1.0-20;7.1.0-21;7.1.0-22,,6
CVE-2022-32545,ReadPSDChannelPixels,0,0,0,,,,7.1.0-27;7.1.0-26;7.1.0-25;7.1.0-28;7.1.0-29;7.1.0-30,,,,6
CVE-2022-1115,ReadTIFFImage,0,0,0,,,,,,,7.1.0-28;7.1.0-27;7.1.0-26;7.1.0-29;7.1.0-30;7.1.0-31,6
CVE-2022-32546,ReadPCLImage,0,0,0,,,,7.1.0-28;7.1.0-27;7.1.0-26;7.1.0-29;7.1.0-30;7.1.0-31,,,,6
CVE-2022-28463,ReadCINImage,0,0,0,,,,7.1.0-27;7.1.0-29;7.1.0-30;7.1.0-31,,,,4
CVE-2022-32547,GetEXIFProperty,0,0,0,,,,7.1.0-29;7.1.0-28;7.1.0-27;7.1.0-30;7.1.0-31;7.1.0-32,,,,6
CVE-2022-3213,ReadTIFFImage,0,0,0,,,,,,,7.1.0-46;7.1.0-45;7.1.0-44;7.1.0-48;7.1.0-49;7.1.0-50,6
CVE-2023-1289,DrawPrimitive,0,0,0,,,,7.1.0-62;7.1.0-61;7.1.0-60;7.1.1-0;7.1.1-1;7.1.1-2,,,,6
CVE-2023-1906,ReadTIFFImage,0,0,0,,,,,,,7.1.1-4;7.1.1-6;7.1.1-7;7.1.1-8,4
CVE-2023-34474,ReadTIM2ImageData,0,0,0,,,,,,,7.1.1-1;7.1.1-0;7.1.0-62;7.1.1-10;7.1.1-11;7.1.1-12,6
CVE-2023-34474,ReplaceXmpValue,0,0,0,,,,,7.1.1-10;7.1.1-11;7.1.1-12,,7.1.1-1;7.1.1-0;7.1.0-62,6
CVE-2023-34475,ReadTIM2ImageData,0,0,0,,,,,,,7.1.1-1;7.1.1-0;7.1.0-62;7.1.1-10;7.1.1-11;7.1.1-12,6
CVE-2023-34475,ReplaceXmpValue,0,0,0,,,,,7.1.1-10;7.1.1-11;7.1.1-12,,7.1.1-1;7.1.1-0;7.1.0-62,6
