cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2018-14882,mldv2_report_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14882,icmp6_nodeinfo_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14882,rpl_dao_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14882,icmp6_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-14882,rpl_dio_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-16227,ieee802_11_print,3,3,0,4.9.2;4.9.1;4.9.0,,,,,6
CVE-2018-16228,print_prefix,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-16229,dccp_print_option,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-16230,bgp_attr_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-16300,bgp_attr_get_as_size,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-16300,bgp_attr_print,6,3,3,,,,,,6
CVE-2018-16300,bgp_update_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-16451,print_trans,0,0,0,4.9.2;4.9.1;4.9.0,,,,4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-16452,smb_fdata,0,0,0,4.9.2;4.9.1;4.9.0,,,,4.9.3;4.99.0-bp;4.99-bp,6
